"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7162","TC05 - Add Single Product","webkit","2026-09-17","passed","2026-09-17","","AddToCart.spec.js","",""
"","1418","GET - All Users","chromium","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","1152","POST - Login User","webkit","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","4329","TC08 - Logout Test","firefox","2026-09-17","passed","2026-09-17","","Logout.spec.js","",""
"","1016","POST - Change Password","webkit","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","4459","TC01 - Valid Login","webkit","2026-09-17","passed","2026-09-17","","Login.spec.js","",""
"","1124","POST - Login User","firefox","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","4134","TC02 - Locked Out User","webkit","2026-09-17","passed","2026-09-17","","Login.spec.js","",""
"","1043","POST - Change Password","firefox","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","3444","TC03 - Invalid Login","firefox","2026-09-17","passed","2026-09-17","","Login.spec.js","",""
"","669","PATCH - Update Account","webkit","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","485","GET - Current User","firefox","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","6507","TC02 - Locked Out User","firefox","2026-09-17","passed","2026-09-17","","Login.spec.js","",""
"","655","PATCH - Update Account","firefox","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","1135","POST - Login User","chromium","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","670","POST - Logout User","chromium","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","6115","TC04 - Verify Products Home Page","chromium","2026-09-17","passed","2026-09-17","","Home.spec.js","",""
"","1081","POST - Change Password","chromium","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","2519","TC03 - Invalid Login","chromium","2026-09-17","passed","2026-09-17","","Login.spec.js","",""
"","3204","TC06 - Add Multiple Products","chromium","2026-09-17","passed","2026-09-17","","AddToCart.spec.js","",""
"","477","GET - User By Username","firefox","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","3241","TC08 - Logout Test","chromium","2026-09-17","passed","2026-09-17","","Logout.spec.js","",""
"","1209","POST - Register User","firefox","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","482","GET - User By Username","webkit","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","698","PUT - Replace Account","firefox","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","1257","POST - Register User","webkit","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","673","DELETE - Delete Account","webkit","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","3780","TC03 - Invalid Login","webkit","2026-09-17","passed","2026-09-17","","Login.spec.js","",""
"","657","DELETE - Delete Account","firefox","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","669","PUT - Replace Account","webkit","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","9475","TC04 - Verify Products Home Page","firefox","2026-09-17","passed","2026-09-17","","Home.spec.js","",""
"","493","GET - Current User","webkit","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","2557","TC02 - Locked Out User","chromium","2026-09-17","passed","2026-09-17","","Login.spec.js","",""
"","10962","TC05 - Add Single Product","firefox","2026-09-17","passed","2026-09-17","","AddToCart.spec.js","",""
"","4813","TC06 - Add Multiple Products","firefox","2026-09-17","passed","2026-09-17","","AddToCart.spec.js","",""
"","17221","TC07 - Complete E2E Purchase Flow","firefox","2026-09-17","passed","2026-09-17","","Checkout.spec.js","",""
"","683","POST - Logout User","webkit","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","7182","TC01 - Valid Login","firefox","2026-09-17","passed","2026-09-17","","Login.spec.js","",""
"","6266","TC05 - Add Single Product","chromium","2026-09-17","passed","2026-09-17","","AddToCart.spec.js","",""
"","7007","TC07 - Complete E2E Purchase Flow","chromium","2026-09-17","passed","2026-09-17","","Checkout.spec.js","",""
"","690","POST - Logout User","firefox","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","683","DELETE - Delete Account","chromium","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","5935","TC01 - Valid Login","chromium","2026-09-17","passed","2026-09-17","","Login.spec.js","",""
"","1152","POST - Register User","chromium","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","6242","TC04 - Verify Products Home Page","webkit","2026-09-17","passed","2026-09-17","","Home.spec.js","",""
"","489","GET - User By Username","chromium","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","12042","TC07 - Complete E2E Purchase Flow","webkit","2026-09-17","passed","2026-09-17","","Checkout.spec.js","",""
"","505","GET - Current User","chromium","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","30046","TC08 - Logout Test","webkit","2026-09-17","broken","2026-09-17","","Logout.spec.js","",""
"","1662","GET - All Users","webkit","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","1637","GET - All Users","firefox","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","791","PATCH - Update Account","chromium","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","671","PUT - Replace Account","chromium","2026-09-17","passed","2026-09-17","Users API Testing","UsersAPI.spec.js","",""
"","8005","TC06 - Add Multiple Products","webkit","2026-09-17","passed","2026-09-17","","AddToCart.spec.js","",""
